,내용,등록일
302,CPU 57도 찍은 S21 후기3월 26일 KT 최초 개통 3월 28일 화상회의 중 발열로 인해 앱리모트미팅 꺼짐 증상 발현 3월 29일 테스트로 카메라 녹화화상회의 앱X시 발열 증상최대 52도 3월 29일 여의도센터 방문  엔지니어가 정상이라고 판단 but 본사 로그 분석 4월 5일 문자 수신  카메라 동작에 따른 제품 컨셉에 따른 동작이라는 내용핫팩 컨셉인가  최신 업데이트 후 화상회의가 아닌 일반 카메라 작동시에는 발열이 다소 줄어듬40도대4월 11일 화상회의 중 발열57도로 인애 앱 꺼짐 배터리 소모 엄청남 터질 듯한 휴대폰첨부파일 참조 4월 11일 삼성멤버스에 문의 글 남김해당 과정 동영상 녹화 및 57도 찍은 스크린샷 확보 4월 12일 삼성멤버스로부터 삼성전자서비스 불편합니다에 남기라는 안내를 받음 게시글 남김4월 13일 삼성전자서비스 홈페이지에 여의도센터 팀장이 전화할거라고 답변4월 14일 여의도서비스센터 팀장에게 전화옴57도는 정상이라는 답변녹음 파일 있음 기계 내부 온도기 때문에 정상이다 어차피 다른 기계들도 마찬가지다동일한 기계 동일 증상 발생시 교품 불가4월 14일 혹시 몰라서 해당 앱리모트미팅 고객센터에도 S21 기종에서 발열 문제 남김4월 18일 현재 다시 테스트해보니 44도 이상으로 올라가진 않음 아마도 앱 제작사에서 패치를 한 것으로 추정44도도 만족스러운 온도는 아니지만 그냥 포기하고 쓰렵니다 삼성전자서비스를 받으면서제가 느낀 아쉬운 점은 무조건 정상입니다 고객님이라고 할게 아니라 제가 그 앱 제작사에 문의를 한 것처럼 뭐 그 앱 제작사에 협의해서 패치를 진행하겠다라던지아니면 4월 14일에 팀장이 말한 내용처럼 3월 29일 센터에 갔을 때 그 자리에서 같은 기종으로 테스트를 해주던지  그냥 무조건 교환불가라는 내부 방침을 세운 것 같더라고요  제 기기가 유독 발열이 높은 것 같긴 하지만사실 교환한다고 해서 해결 될 문제는 아닌 것 같긴 합니다  이제 겨울이 가고 여름이 오고 있지만 핫팩 필요하신 분들은 S21 구매하세요  갤럭시 사전예약 또 받던데 곧 구형폰 될 것 같긴하지만  S21은 망작입니다,2020.09.01. 10:43
303,게임 쫌만해도 발열있어 프레임 드랍 심하고 핑 튀고 에휴걍 노트 20u 그대로 쓸껄 그랬네요,2020.08.31. 23:58
304,1질문 판매글 광고 체험단글 추천요구글 X 2 판매처 또는 인터넷주소링크 금지 3 가짜모방특히명품 액세서리 X 4 제품도착 지연 문의글 한줄 후기 X 질문추천 금지 Xs21 u 100x s20 u 100x 저기 정면 산위에 보이는 아파트인데 화질차이 좀 있네요좋아지긴 했네요 근데 저걸 땡기다니 대단하긴 합니다,2020.08.31. 22:39
305,일단 지난주 삼성디지털 프라자 대란탑승 했고 오늘 사은품 다 정리하여 내역 공개하면 21U 자급제노트북버즈플러스 카드결재 2158000원 6개월 캐시백 503616원 청구할인 100000원  할부이자 32370원 1586754원 에서  상품권 140000원 삼페카드 신규발급 120000원 노트북 처분가 580000원  버즈플러스 처분가 85000원 v50 민팃 223000원 S21U 최종가 438000원에 구매완료 했네요 핸폰은 실사할지 팔지 고민중 입니다 안팔면 삼성 악세서리 구매쿠폰 10만원 짜리랑 워치쿠폰 라이브 쿠폰도 있어서 더 내려가겠네요참고 바래요 ,2020.08.31. 18:53
306,노트 단종각이라 이제 어떻게 둥근 디자인 쓰나 했는데바로 잊혀졌습니다 노트7이랑 4세대 차이도 나고크기 베젤 성능등 격차가 어마 어마 하다 보니 신세계입니다아주 싸게 산 것도 한 몫 하겠지요 어플 동시에 여러개 사용을 많이 하는데 리프레시 없는게 너무 좋네요발열도 없는 것 같고 양품같은무게도 금방 적응 되고단점은 화면이 너무 밝아서 눈부셔요 밝기 2030프로만 하고 씁니다 ,2020.08.31. 18:11
307,일단 LG V40 쓰다가 이번에 넘어왔습니다갤럭시를 써보니까 확실히 좋은거같습니다약간의 배터리가 조금 문제 인거같기도 하지만아직은 만족중입니다 삼성페이도 아주 편리하고요아이폰은 절대로 안쓸거같습니다 카메라도 좋고 램도 빵빵하고 고민하지마시고 무조건 추천드립니다,2020.08.31. 14:18
308,핑크가 젤 예쁘지 않나요  사면서도 핑크하는사람 잘없죠그랬다는 써보니깐 좋네여발열있다고 하는데 잘모르겠네요 아직은 게임을 안해서 그런가요 대구에서 15주고 삿네요   ,2020.08.31. 13:50
309,노트10 사용하다 갤럭시s21 사용하고 있는데 괜히 바꿨나 싶네요 S21울트라로 바꿀걸 후회가 막심합니다S21 은 주머니에 넣고 편하게 다니고 싶은분들은 추천이며 게임이나 사진을 많이 찍는 분들은 울트라로 사용하시는게 맘고생 안하고 좋을것 같아요3개월 사용하다 다시 유심옮겨서 노트 10 사용해야 겠어요,2020.08.31. 10:43
310,안녕하세요저도 핸드폰 사기전에 고민이 많았어서저의 간단한 후기가 도움이 될까해서 몇자 적어봅니다1 ui가 많이 이뻐졌다원래 아이폰 썼던 이유가 아이폰 특유의 그 감성이랄까 ui가 너무 부드러고 이뻤음 갤럭시는 아저씨같았구 근데 주사율 120hz들어가고 ui도 여러가지 손보니까진짜 이쁘네요2 좀 무겁다 근데 또 적응된다이제까지 작은 폰만 썼어서 좀 새로운 느낌을 주고싶어서이번에는 불편할거 예상하고 큰폰으로 왔어요확실히 화면도 커져서 좋긴한데사용하다 보니 무겁더라구요 본인 남자그래도 쓰다보면 적응해서 들고다닐만해요적응 되는 무게인거같아용3 카메라도 오히려 더 자연스럽다아이폰 썼었던 이유 중의 하나가셀카가 아이폰이 더 자연스러웠었어요갤럭시는 좀 쨍한느낌이랄까근데 현 시점 아이폰12랑 비교해본건 아니라뭐가 낫다라고 말씀드리긴 그런데카메라도 정말 자연스럽더라구요쨍한느낌도 많이 사라지고 화사하게 찍고싶으면그것도 그거 나름대로 되고 카메라도 너무 만족입니다4 배터리가 진짜 오래가요아이폰8이라 워낙 배터리가 작은 용량에서 넘어와서체감이 더 큰거같아요계속 폰보고 핸드폰 하루종일 만지는게 아닌이상하루는 배터리 거뜬히 버텨요5 많은 분들이 말하시던 발열은 음글쎄발열문제때문에 저도 고민을 좀 하긴했는데제가 사용하는 플러스 모델은 발열이 크게 심하다고느끼지 않았어요애초에 그냥 큰 기대를 안하시는게핸드폰이 슈퍼컴퓨터도 아니고작업을 하드하게 돌리면 뜨거워지는게 당연하다고 생각합니다하드하게 쓰는거는 카트라이더 러쉬플러스밖에없는데전혀 안뜨거워지고그냥 초반에 어플 여러개 깔고 뭐하고 이것저것할때살짝 따뜻해졌네 이 정도였습니다6 색상은 블랙으로 했습니다항상 밝은 색상 폰만 썼어서 이번에는 일부러 어두운블랙으로 갔어요  원래는 실버가 되게 이뻐보여서 실버로 가려고 했는데막상 사는 날 보니 그냥 그랬습니다호구마 색은 좀 질릴거같아서무난하게 오래쓰려고 블랙 골랐습니다이미 많은 후기들이 올라와있지만여전히 구매를 망설이시는 분들이 계셨다면도움이 됐으면 좋겠어요,2020.08.31. 03:06
311,노트fe는 어플 2개만 켜놔도 번갈아가며 열면 리프레시였는데 이건 10개 이상도 멀쩡하네요유튭에 실험 영상 봤었는데 직접 해보니 놀랍네요그 외에도 모든게 좋네요 그냥 다 좋습니다모든 속도가 빠릿,2020.08.31. 01:09
312,여러 후기들을 보면서 고민고민하다가 구매했습니다적응된긴했는데 무게 제법 묵직하고 크긴크네요그래도 팬텀실버에 영롱한 색상을 보니아주 마음에 드네요구매혜택쿠폰으로 버즈라이브는 필요없어서 날려먹어야할거같고갤럭시워치3삼성케어플러스 했는데 든든합니다,2020.08.30. 20:45
313,우선 제가 S9 사용한지가 3년이 넘었네요그당시는 당연 최고 폰이지만 세월이 지나면어쩔수가 없는거죠원래는 내년까지 버텨 보려고 했으나 액정이깨지는 일이 생겨서 급하게 갈아타는 상황이생긴것도 있고 간단하게 S21u256 오늘로 3일차 뭐 아직 멋모르고 사용하는 새내기라 전문가 수준의 글솜씨도 테스트도 못하지만 평범한 일반인 기준으로 써보려고 합니다우선 제일 핫한 발열 아직은 최적화가 다 진행되지 않은 상황이라 좀 애매한 감은 있지만  3일 동안 느낀 점은 발열은 확실히 있는 것 같습니다구매한지 얼마 안 돼서 여러 가지 세팅을 하고 과도하게 폰을 만지고 있어서 평상시에 사용하는 것보다는 발열이 당연히 있을 거라 생각은 했는데  생각했던 것보다는 조금 더 발열이 있는 것 같습니다만약 게임을 하게 된다면 꽤 신경이 쓰이지 않을까 생각은 드네요 지금 날씨를 생각하면 한여름에는 불편하지 않을까 하는 생각도 드네요하지만 게임을 안 하시는 분들은 그렇게까지 크게 신경 쓸 정도는 솔직히 아닌 것 같습니다하지만 이폰이 게임을 할 고사양 폰이고 게임을 실제로 하시는 분들도 많을 테니  이 부분은 좀 문제가 있지 않나 생각 드네요 그래서 뒤판에 붙이는 발열 패치를 하나 샀습니다어제 주문했는데 내일 올거 같네요 그거 붙이면 좀 나으려나 소비자가 이런 걱정을 해야 된다는 게 참 안타깝네요  명색이 프리미엄폰인데 소비자는 그만큼 가격을 주고 샀는데 안타깝네요 그다음으로 이야기가 많이 나오는 무게무게는 제 개인적으로는 솔직히 큰 문제는 아닌 것 같아요  S9 플러스도 솔직히 가볍다는 생각은 안 했거든요 둘 다 케이스를 끼우고 양손으로 들었을 때 무게감은 솔직히 크게 차이 나지 않아요오히려 크기나 배터리 용량을 생각한다면 S 21 울트라가 더 가볍게 느껴지네요 그래서 그런지 무게로 인한 스트레스는 없는 거 같아요솔직히 YouTube 나  카페 글들 보면 무게에 대한 이야기가 상당히 부담스럽게 느껴졌는데 막상 제가 사용해보니 그 정도는 아닌 것 같아요그리고 마지막으로 디자인이나 성능 화면 크기 같은 거는 전 굉장히 만족합니다 디자인도 괜찮고 뭐 발열 때문에 성능이 하락되지만 제가 사용하던 폰도 엑시노스 니까 그거 와 비교하면 신세계  무엇보다 화면이 너무 커서 좋고 세 폰이라서 마냥 좋네요 그게 중요한 거죠 내가 좋으면 좋은 거니까 내 돈 주고 산 건데 남들이 뭐라 하는 게 뭐가 중요한가요 여름이 좀 걱정이긴 하지만 땡볕 밑에서 게임하고 있을 사람은 없잖아요 에어컨 있는 집이나 커피숍이나 실내에서 할 테니   어떻게든 되겠죠,2020.08.30. 20:03
314,사이즈나 무게감 등 너무 좋은데 단 하나 배터리가 좀 녹는다는 생각이 드네여 저녁 6시 경인가 100프로였는데 유튜브 한 30분 정도 봤나 그거 외엔 별 사용을 안했는데 지금 이시각 66프로네요,2020.08.30. 16:37
315,무게는 갤s8과 비슷해서 저한텐 좋았고120hz는 엄청 좋았어요그냥 확실히 업그레이드를 해서 그런지 s8  s21전체적으로 만족스럽습니다,2020.08.30. 15:46
316,후기  쿠키런 킹덤이 잘 됩니다나머지 기능이야 뭐 원래 보급형 LG Q70 쓰던 사람이라좋겠죠 뭐쿠키런 킹덤 잘 되고처음에 왔을 때 며칠은 금속 테두리에 손대면 따끔할 정도로 뜨거워 지더니업데이트그 카메라 업데이트 올라온 다음날업데이트하고 한번 공초했더니발열이 게임 좀 오래했다 싶을 때만 나고 괜찮네요그리고 쿠킹런 킹덤이 잘 되서 만족합니다처음엔 100만원짜리 게임기를 사네 이런 기분이었는데은행앱도 실행 잘 되고  뭐 괜찮지 않나 이런 기분입니다플래그십 난생 처음 써봐서 뭘 해야 할지 모르겠어서매일 쿠키런 킹덤만 하고 있습니다,2020.08.30. 11:06
317,s21 오른쪽 가장자리 부분 손톱으로 치면 다른 부분보다 소리 큰거 저만 그런가요,2020.08.30. 06:39
318,일단 내구성은 최악인 듯 싶습니다제 전 글 보시면 아시겠지만 링케 퓨전 끼고도 뒷판 깨짐 거의 설탕인 듯 싶어요그리고 배터리가 심각하게 아쉽네요노트10보다 배터리가 더 뚝뚝 떨어집니다 근데 저는 이정도 말고는 정말 아쉬움 1도 없네요카메라 굿기존에 일반 버즈에서 버즈 프로로 넘어오니 진심 귀가 엄청 즐겁네요이어팁 이야기가 많은데 뭐 내 귀는 특별하니깐 생각했다가진짜 귓구멍 아파서 한 시간 이상 착용하기 힘듭니다 이거 누가 설계했는지 몰라도 모가지 쳐야 겠어요기존 버즈는 사용 거의 하지도 않았는데 한쪽 맛탱이 가버려서 내구성에 대해 의심이 많지만잘써봐야겠어요버즈프로 이어팁 제외 이어폰 음질 자체는 신세계입니다 ,2020.08.30. 00:13
319,갤 S8 4년 쓰고 S21 넘어온 간단한 후기입니다일단 너무 오랜만에 최신폰으로의 교체라 두구두구 기대했던것과는 달리 그냥 비슷한 외형의 비슷한 디자인 핸드폰이라 바로 무덤덤해졌습니다 바로 후기 시작하겠습니다1 발열S21 발열 이슈가 많아서 걱정을 많이 했는데 다행히 제 폰은 따뜻하긴 하지만 크게 걱정할 정도는 아니에요 기본케이스를 씌워서 그런지 30분 정도 사용하면 사알짝 따뜻해지는건 확실히 느껴지지만 거기까지더라구요 아직은 한두시간 연속으로 사용해도 사알짝 따뜻해지는 정도에 머물러있었습니다 단지 일찍 따뜻해지는게 조금 문제인것 같아요2 카메라일상 속 사진과 영상을 자주 찍어서 카메라를 잘 살펴봤는데 크게 좋아진점은 못느꼈습니다 오 깔끔하게 잘나오네 정도사진은 자주찍지만 폰알못 사양알못입니다 그래도 이전보다 사진확대해도 화질이 좀 잘 유지된다는건 확실하게 체감되더라구요3 속도속도는 가장 크게 느껴진것같아요 새폰이라 그런지 버벅임 없이 인터넷이 빠르게 잘 됩니다 아주 만족해요4 터치감터치감도 아주 만족하는 부분입니다 부드럽고 스무스하고 빨라요 총평크게 와 좋다 이런건 아니지만 더 빨라지고 부드러워진 핸드폰이라 만족하는 편입니다 가격도 저렴하게 사서 더 좋아요 good good,2020.08.30. 00:12
320,아마 저같은 고민을 하신 분이 많지 않으실까 싶어서 혹시나 하는 마음에 남겨봅니다속칭 말하는 저는 앱등이였습니다아이폰은 4대 정도 사용했고 노트북은 맥북 프로 시계는 애플워치 이어폰은 에어팟이었습니다갤럭시로 바꾸게된 계기는 일하다 보면 휴대폰으로 사진찍을때가 많은데 광각 카메라가 매력적으로 다가와서 구매하게 되었어요우선 장점과 단점에 대해 이야기해보려고 합니다1 장점  삼성페이 정말 편합니다 왜 아이폰쓰다가 넘어온 사람들이 극찬을 하는지 알거 같습니다 결제 교통카드 모두 다 휴대폰 하나로 해결되니까요 지갑에서 카드를 주섬주섬 꺼내지 않고 결제된다는 점 정말 편안해집니다  노치가 없는 시원한 화면 아이폰 특유의 노치 디자인이 없어 전면 카메라의 구멍만 있습니다 영상보거나 게임할때 그동안 노치에 가려져있던것들이 보이기 시작합니다 시원시원해요  멀티태스킹 아이폰에서는 불가능했던 멀티태스킹이 가능합니다 유튜브를 보거나 게임을 하는 중에도 인터넷 서칭이나 카톡같은 다양한 요소들을 활용할 수 있다는 것은 굉장히 매력적이고 편리합니다  카메라 광고에 나온 AI지우개 기능은 약간 흔적이 나와서 아쉽긴 하지만 그래도 아이폰 대비해서 광각이 된다는 점은 매력적입니다 또한 필터도 굉장히 다양하더군요 아직 아이폰을 쓰는 와이프도 슬슬 탐내기 시작하고 있습니다2 단점  충전기 어댑터 처음 구매하면 기본적으로 CtoC 케이블만 하나 달랑 주더군요 아직 대부분의 충전기 어댑터가 USB A타입이 들어간다는 점을 고려하면 굉장히 아쉽습니다 차라리 USB AtoC를 주면 좋았을텐데 기존에 있는 어댑터를 못쓰니 첫날 저녁부터 어댑터 구하러 다녔습니다  발열 딜레이 배터리 저는 주로 게임을 많이 돌리는 편입니다 아이폰에 비해서 구글 안드로이드는 다양한 제조사에 공급되다보니 최적화 이런게 많이 부족한것 같습니다 분명히 갤럭시 S21이 제가 쓰던 아이폰XS보다 최신 제품인데 기존에 하던 게임에서도 발열 프레임 드랍 배터리 광탈 등의 현상이 생겨서 조금 아쉬운것 같네요 이 부분은 제가 최적화를 못한걸수도 있으니 유튜브나 강좌등을 보고 한번 세팅을 조정하려고 합니다  살짝 멀리 들리는 통화감 이건 아마 노치같은 디자인이 아니다보니 통화시 스피커가 다른 위치에 있어서 생기는 것 같은데 통화감이 살짝 멀리 들리는 느낌이 있었습니다아이폰에 비교하다보면 이정도 장단점이 있는 것 같아요다른 아이폰쓰시는 분 중 갤럭시로 바꾸고 싶으신 분 중 궁금하신 점 있으시면 언제든 말씀드리겟습니다,2020.08.30. 00:10
321,아버님 휴대폰이 노후화 되어서 갤럭시s21 로 구매해 드렸습니다처음 제품을 받아 기기 점검차원에서 설정도 하고 이것 저것 테스트 하다 통화를 해보니통화 시작한지 얼마 안되었는데도 발열이 생겼습니다 너무 놀랐고 발열 문제 이슈가 있었던것을 이미인지하고 구매하기는 했지만 이렇게 발열이 체감될줄은 몰랐었습니다열을 식히고 다시 몇번의 통화를 시도해 보며 발열감을 체크해보니 분명 발열감이 기존 갤럭시노트10 대비하여 상당한 발열이 있었습니다 그리고 카메라 사용시에도 통화시 느껴졌던 발열감을 확인 할수 있었습니다 그래서 이런 저런 검색을 하다보니 초반에 하루 이틀 발열증상이 있다가 펌웨어를 거치며 괜찮아 졌다는 후기들을 보고 소프트웨어 업데이트도 해주고 배터리 충전도 채워주고전원도 껐다가 키고 다시 여러가지 테스트를 하고나서 하루의 시간을 보냈습니다 그러고 다시 발열 상태를 보니 처음 보다 많이 완화 된듯한 느낌이 들었습니다그러나 내심 찜찜한 마음도 들고 하여 바로 서비스센터로 가서 점검을 받아봤습니다발열 이슈 때문인지 갤럭시s21 기종 점검자는 따로 순서를 매겨 빠르게 진행을 받아볼 수 있도록 하는것 같았습니다점검 결과 문제가 될만한  발열증상은 없는 것으로 나왔습니다 테스트는 간단했습니다기기를 점검이 가능한 pc 에 연결하면 사용기록을 데이터로 볼 수가 있었습니다 최저 온도와 최고 온도가 사용 시간대별로 그래프로 나타나 있는것을 확인할 수 있었고 최고 온도는 40도 였던것으로 나왔습니다 결론적으로 이상없는 제품이다라는 판정을 받았고 점검을 받아 이상 없는 것으로 판정을 받고나니 찜찜한 마음도 풀리게 되어 서비스센터에 잘 다녀왔다는 생각도 들었습니다그렇게 약 3주간의 시간이 흐른 지금은 별 문제 없이 잘 사용하고 있습니다 다만 아쉬운 부분은 갤럭시노트10 대비하여 배터리 소모가 조금더 빠르다는 것입니다 분명 스펙상으로는 갤럭시s21이 좀더 배터리 용량이 많은것으로 되어있는데 똑같은 사용환경은 아닌지만 둘다 비슷한  앱 사용이나 통화 후 배터리 잔량을 보면 노트10 보다 빨리 소모되는 느낌입니다 그러나 어디까지나 정확한 테스트를 진행한 것은 아니기에 이는 실제 테스트와 다를 수는 있을 것입니다 다만 체감상 느껴지는 부분이라는 것 말씀드립니다 그 외 나머지 부분에서 느껴지는 문제점은 현제까지 없는 것 같습니다 결론적으로 갤럭시 s21 이 발열문제가 초기에 있는 것은 맞지만 펌웨어및 시간에 따른 배터리 학습효과가 따른 뒤에는 안정적인 모습을 보여준다라고 할 수 있을것 같습니다 ,2020.08.29. 23:27
322,1월에 사전예약으로 시작하여 3달간 사용하고 있습니다그전에는 노트10플러스 사용하고 있엇는데노트10플러스 사용하다 넘어오니 일단 스크롤을 했을때 부드러움에 놀랬고카메라 촬영을 하는데 이쁘게 잘 나와서 두번 놀랬네요 가끔 영상틀고 잠들었다가 일어났을때 발열이 있긴했는데 케이스를 씌우고 있으니 크게 막 느끼진 못했습니다휴대폰 변경 생각이 있으시다면 후회없으실거라고 생각이 듭니다,2020.08.29. 20:45
323,s10 5g 2년 약정마치고 지난주에 21u로 기변하여 사용하고있습니다갤럭시투고 서비스로 사용했을때보다 기분탓인지 무게가 가벼운것처럼 느껴지네요 제일 체감되는부분은 역시 60hz 120hz 주사율인거같은데요 120hz 계속보고있으니 여태 60hz어떻게 사용했는지도 모르겠네요발열이슈가 좀 많아서 걱정한부분도있는데 게임안하고 유튜브 잠깐보고 카톡만하는 라이트유저인 저는 아직까지 크게 불편한적은 없었던거같습니다s10에서 기변고민중이신 분들은 저는 조심스럽게 기변 추천드립니다,2020.08.29. 20:43
324,2년동안 s10쓰다가 이번주에 자급제로 s21구매해서 쓰고있는데 넘 만족스럽네여 싸이즈며 화면이며 속도며s10은 좀 큰감이 있었는데 요건 한손안에 쏙 그립감 좋고전자책보는데 화면도 쨍하니 잘 읽히네여  발열이슈가 있어서 걱정했는데 하루이틀 적응기간 끝나니까못느낄정도이고 넘 만족입니다  고민하고계신분들 사십쇼,2020.08.29. 20:38
325,이거는 최적화 문제가아니라 폰 자체 문제인거 같아요 잔렉이랑 프레임 드랍이 심하네여,2020.08.29. 17:22
